City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
233,Acajutla,SV,86.81,overcast clouds,13.5928,-89.8275,asi es
234,Waingapu,ID,76.21,clear sky,-9.6567,120.2641,Pondok Wisata Elim
235,Oussouye,SN,86.18,overcast clouds,12.485,-16.5469,Auberge du Routard
242,Hobyo,SO,77.58,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
243,Ambulu,ID,73.63,few clouds,-8.345,113.6058,Hotel Ambulu Jember
245,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
246,Kavieng,PG,81.09,light rain,-2.5744,150.7967,Nusa Island Retreat
247,Praia,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
249,Katubao,PH,79.68,overcast clouds,5.8892,124.8294,IML Ecopark
252,Muli,MV,82.78,few clouds,2.9167,73.5667,Medhufushi Island Resort
253,Muroto,JP,77.95,overcast clouds,33.2833,134.15,Oota Ryokan
254,Ambilobe,MG,73.0,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
256,Sibolga,ID,76.59,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
257,Marsh Harbour,BS,83.21,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
260,Ilheus,BR,80.42,few clouds,-14.7889,-39.0494,Barravento Hotel
261,Ambon,ID,78.73,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
262,Ixtapa,MX,84.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
264,Saurimo,AO,79.45,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
268,Westport,US,82.76,clear sky,41.1415,-73.3579,The Westport Inn
277,Bonavista,CA,77.0,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
279,Ponta Delgada,PT,77.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
280,Barabai,ID,73.58,overcast clouds,-2.5833,115.3833,Bouraq Losmen
281,Samastipur,IN,82.94,light rain,25.85,85.7833,Hotel Madanlok
283,Tulsipur,NP,81.07,overcast clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
285,Hoi An,VN,82.36,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
286,Kushmurun,KZ,72.54,few clouds,52.4503,64.6311,Gostinitsa Pri Depo
287,Palembang,ID,75.06,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
