City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
223,Nouadhibou,MR,20.931,-17.0347,78.78,73,52,16.11,broken clouds
224,Ormara,PK,25.2088,64.6357,79.41,83,100,14.74,overcast clouds
225,Husavik,IS,66.0449,-17.3389,66.11,70,79,8.84,broken clouds
226,Norman Wells,CA,65.282,-126.8329,51.84,100,90,0.0,light rain
227,Oksfjord,NO,70.2396,22.3479,51.87,85,100,5.84,overcast clouds
228,Burns Lake,CA,54.2331,-125.7533,60.22,52,85,14.92,overcast clouds
229,La Ronge,CA,55.1001,-105.2842,73.62,46,20,6.91,few clouds
230,Boguchany,RU,58.3814,97.4531,59.0,73,93,3.22,overcast clouds
231,Touros,BR,-5.1989,-35.4608,85.1,63,48,21.18,scattered clouds
232,Coquimbo,CL,-29.9533,-71.3436,56.93,71,75,3.44,broken clouds
233,Acajutla,SV,13.5928,-89.8275,86.81,77,90,4.05,overcast clouds
234,Waingapu,ID,-9.6567,120.2641,76.21,86,7,11.68,clear sky
235,Oussouye,SN,12.485,-16.5469,86.18,84,100,5.97,overcast clouds
236,Lavrentiya,RU,65.5833,-171.0,43.41,83,81,0.87,broken clouds
237,Zhigansk,RU,66.7697,123.3711,49.55,62,90,6.53,overcast clouds
238,Raduzhnyy,RU,62.0961,77.475,63.16,63,82,8.72,broken clouds
239,Batemans Bay,AU,-35.7167,150.1833,56.19,42,0,11.25,clear sky
240,Kiama,AU,-34.6833,150.8667,58.44,46,0,15.12,clear sky
241,Chuy,UY,-33.6971,-53.4616,61.07,81,92,2.55,overcast clouds
242,Hobyo,SO,5.3505,48.5268,77.58,79,65,25.61,broken clouds
243,Ambulu,ID,-8.345,113.6058,73.63,90,18,3.89,few clouds
244,Calama,CL,-22.4667,-68.9333,68.49,14,0,3.44,clear sky
245,Georgetown,MY,5.4112,100.3354,78.89,91,40,0.0,scattered clouds
246,Kavieng,PG,-2.5744,150.7967,81.09,80,99,10.94,light rain
247,Praia,CV,14.9215,-23.5087,82.94,69,75,12.66,broken clouds
248,Tymovskoye,RU,50.8456,142.655,48.45,99,67,5.35,broken clouds
249,Katubao,PH,5.8892,124.8294,79.68,75,92,5.01,overcast clouds
250,Awjilah,LY,29.1081,21.2869,93.11,18,0,12.59,clear sky
251,Mount Gambier,AU,-37.8333,140.7667,49.91,93,90,9.22,overcast clouds
252,Muli,MV,2.9167,73.5667,82.78,70,23,15.48,few clouds
253,Muroto,JP,33.2833,134.15,77.95,79,100,5.48,overcast clouds
254,Ambilobe,MG,-13.2,49.05,73.0,70,53,2.51,broken clouds
255,Qasigiannguit,GL,68.8193,-51.1922,46.65,80,100,3.62,overcast clouds
256,Sibolga,ID,1.7427,98.7792,76.59,90,100,3.33,heavy intensity rain
257,Marsh Harbour,BS,26.5412,-77.0636,83.21,75,100,17.11,overcast clouds
258,Maldonado,UY,-34.6667,-54.9167,51.19,75,59,4.5,broken clouds
259,Leku,ET,6.8667,38.45,60.35,86,86,4.63,light rain
260,Ilheus,BR,-14.7889,-39.0494,80.42,74,20,8.05,few clouds
261,Ambon,ID,-3.6954,128.1814,78.73,84,92,7.43,overcast clouds
262,Ixtapa,MX,20.7,-105.2,84.22,78,1,2.3,clear sky
263,Ucluelet,CA,48.9329,-125.5528,59.31,80,82,3.09,broken clouds
264,Saurimo,AO,-9.6608,20.3916,79.45,20,2,1.52,clear sky
265,Ouallam,NE,14.3188,2.0866,93.99,38,63,5.46,broken clouds
266,Leeds,GB,53.7964,-1.5477,67.39,52,40,5.01,scattered clouds
267,Baruun-Urt,MN,46.6806,113.2792,58.24,83,15,7.47,few clouds
268,Westport,US,41.1415,-73.3579,82.76,53,1,1.01,clear sky
269,Dikson,RU,73.5069,80.5464,46.87,100,100,15.32,light rain
270,Quatre Cocos,MU,-20.2078,57.7625,66.31,58,96,15.28,overcast clouds
271,Atherton,GB,53.5237,-2.4935,66.15,76,86,8.01,overcast clouds
272,Sosnovo-Ozerskoye,RU,52.5249,111.5418,54.93,84,8,3.85,clear sky
273,Lodja,CD,-3.4833,23.4333,81.48,47,58,2.13,broken clouds
274,Killybegs,IE,54.6333,-8.45,58.71,77,85,16.02,overcast clouds
275,Saint George,US,37.1041,-113.5841,94.53,39,1,0.0,clear sky
276,Chapais,CA,49.7834,-74.8492,65.98,33,51,8.57,broken clouds
277,Bonavista,CA,48.6499,-53.1147,77.0,88,78,10.42,broken clouds
278,Hasaki,JP,35.7333,140.8333,68.4,85,100,14.43,overcast clouds
279,Ponta Delgada,PT,37.7333,-25.6667,77.72,78,20,8.05,few clouds
280,Barabai,ID,-2.5833,115.3833,73.58,96,100,1.95,overcast clouds
281,Samastipur,IN,25.85,85.7833,82.94,85,100,5.82,light rain
282,Sistranda,NO,63.7256,8.834,57.16,80,100,3.74,light rain
283,Tulsipur,NP,28.131,82.2973,81.07,85,100,3.29,overcast clouds
284,Alta Floresta,BR,-9.8756,-56.0861,100.47,17,3,4.88,clear sky
285,Hoi An,VN,15.8794,108.335,82.36,88,99,6.64,overcast clouds
286,Kushmurun,KZ,52.4503,64.6311,72.54,33,21,1.79,few clouds
287,Palembang,ID,-2.9167,104.7458,75.06,96,100,3.15,light rain
288,Kaitangata,NZ,-46.2817,169.8464,41.58,88,62,5.82,broken clouds
289,Jacareacanga,BR,-6.2222,-57.7528,94.95,36,48,4.97,scattered clouds
290,Cidreira,BR,-30.1811,-50.2056,62.37,82,91,7.34,overcast clouds
291,Kitui,KE,-1.367,38.0106,68.65,60,99,13.15,overcast clouds
292,Makakilo City,US,21.3469,-158.0858,75.52,77,40,3.44,scattered clouds
293,Ternate,ID,0.8,127.4,79.59,79,36,2.21,scattered clouds
294,Nara,JP,34.6851,135.8049,74.48,90,56,2.17,broken clouds
295,Saskylakh,RU,71.9167,114.0833,47.73,69,3,7.2,clear sky
296,Komsomolskiy,UZ,40.4272,71.7189,79.52,24,20,6.91,few clouds
297,Novyy Urgal,RU,51.0736,132.5642,56.48,95,9,0.47,clear sky
298,Manakara,MG,-22.1333,48.0167,62.76,80,16,3.24,few clouds
299,Rizhao,CN,35.4275,119.4553,73.44,87,1,2.68,light rain
300,Kirakira,SB,-10.4544,161.9205,78.13,88,84,12.26,broken clouds
