City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
91,Cape Coast,GH,2021-08-14 16:54:07,5.1053,-1.2466,77.56,75,42,15.97,scattered clouds
92,Foumban,CM,2021-08-14 16:54:07,5.7291,10.9001,68.45,91,78,2.01,moderate rain
93,Chokurdakh,RU,2021-08-14 16:54:07,70.6333,147.9167,40.82,76,100,12.91,overcast clouds
94,Kruisfontein,ZA,2021-08-14 16:54:08,-34.0033,24.7314,56.88,79,82,6.13,broken clouds
95,Benidorm,ES,2021-08-14 16:54:08,38.5382,-0.131,91.78,67,9,5.91,clear sky
96,Kapaa,US,2021-08-14 16:54:08,22.0752,-159.319,75.18,78,32,14.23,light rain
97,Beringovskiy,RU,2021-08-14 16:54:09,63.05,179.3167,54.45,78,75,9.13,broken clouds
98,Dikson,RU,2021-08-14 16:54:09,73.5069,80.5464,45.95,99,100,4.36,overcast clouds
99,Conde,BR,2021-08-14 16:54:09,-7.2597,-34.9075,83.66,58,40,11.5,scattered clouds
100,Khatanga,RU,2021-08-14 16:54:10,71.9667,102.5,53.28,63,100,4.34,overcast clouds
101,Kaitangata,NZ,2021-08-14 16:54:10,-46.2817,169.8464,45.55,76,85,12.15,overcast clouds
102,Ermua,ES,2021-08-14 16:54:11,43.1833,-2.5,72.95,70,55,6.02,broken clouds
103,Margate,GB,2021-08-14 16:54:11,51.3813,1.3862,75.87,52,52,3.0,broken clouds
104,Neiafu,TO,2021-08-14 16:54:11,-18.65,-173.9833,68.68,77,20,0.0,few clouds
105,Bredasdorp,ZA,2021-08-14 16:54:12,-34.5322,20.0403,56.52,62,0,11.5,clear sky
106,Bilma,NE,2021-08-14 16:54:12,18.6853,12.9164,103.53,12,37,3.83,scattered clouds
107,Komsomolskiy,UZ,2021-08-14 16:54:13,40.4272,71.7189,79.52,22,37,9.22,scattered clouds
108,Hilo,US,2021-08-14 16:49:44,19.7297,-155.09,73.13,90,75,5.75,light rain
109,Palmer,US,2021-08-14 16:54:13,42.1584,-72.3287,87.48,68,75,1.01,broken clouds
110,Lompoc,US,2021-08-14 16:54:14,34.6391,-120.4579,76.93,88,90,3.44,overcast clouds
111,Blackwater,AU,2021-08-14 16:54:14,-23.5833,148.8833,57.72,88,12,8.48,few clouds
112,Kushiro,JP,2021-08-14 16:54:14,42.975,144.3747,51.58,93,100,8.12,overcast clouds
113,Hambantota,LK,2021-08-14 16:54:15,6.1241,81.1185,80.01,76,92,19.17,overcast clouds
